排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数
116,菊次郎的夏天,导演: 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,611185
117,寄生虫,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情,8.8,1406820
118,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,568778
119,消失的爱人,导演: 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,981948
120,阳光灿烂的日子,导演: 姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,629115
121,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,968070
122,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,324175
123,无人知晓,导演: 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,329420
124,倩女幽魂,导演: 程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,755400
125,小森林 夏秋篇,导演: 森淳一 Junichi Mori,2014,日本,剧情,9.0,435097
126,时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻,8.8,698447
127,未麻的部屋,导演: 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,9.1,352238
128,侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,475006
129,哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.8,686665
130,驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.8,775765
131,幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,586857
132,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,500812
133,小森林 冬春篇,导演: 森淳一 Junichi Mori,2015,日本,剧情,9.0,387774
134,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,9.0,385896
135,怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,694224
136,玩具总动员3,导演: 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.9,534008
137,傲慢与偏见,导演: 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,825334
138,新世界,导演: 朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,455519
139,萤火之森,导演: 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.9,554678
140,茶馆,导演: 谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史,9.6,158390
141,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,625423
142,釜山行,导演: 延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,1230193
143,神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.7,967746
144,告白,导演: 中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑,8.8,685510
145,玛丽和马克思,导演: 亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画,9.0,428186
146,哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻,9.2,267498
147,色，戒,导演: 李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,842186
148,九品芝麻官,导演: 王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,703773
149,大鱼,导演: 蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,8.8,581048
150,喜宴,导演: 李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,376144
151,模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.8,663941
152,头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.6,1398223
153,射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,654662
154,花样年华,导演: 王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.8,630166
155,头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.8,636255
