title,author,price
 Excel机器学习 不懂Python没关系，用Excel也能学机器学习。十余种常用机器学习方法，一步一步轻松学。免费下载Excel示例文件，边学边练。,,¥44.80
 Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册） Python编程入门好书，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,,¥133.90
 机器学习 机器学习*修订版！人工智能领域中文的开山之作，大牛周志华教授带你全面揭开机器学习的奥秘。,,¥79.90
 统计至简（概率统计全彩图解 + 微课 + Python编程） ,,¥129.00
 ChatGPT高效提问：prompt技巧大揭秘 设计精妙有效的提示，释放ChatGPT的无限潜力，让ChatGPT真正为你所用，做AIGC时代的先行者！,,¥52.30
 AIGC从入门到实战：ChatGPT+Midjourney+Stable Diffusion+行业应用 如何有效应对AI革命？一本书带你深入探究ChatGPT、Midjourney、Stable Diffusion及其他AI工具的妙用！提供具体提问模版，常用AI工具，资源推荐！,,¥34.90
 Excel函数与公式速查宝典教程（视频案例+彩色印刷） word excel ppt wps 办公软件自学教程 办公应用 手机扫码看474节18小时同步视频讲解+362个函数与公式解析+435个行业应用案例，赠37小时Word/Excel/PPT教学视频，Excel速查大全，随查随用,,¥49.90
 控制之美（卷1）——控制理论从传递函数到状态空间 本书的目标是以简单的语言讲述复杂的知识，希望本书可以引起读者对控制理论的兴趣，并掌握控制理论的核心精神所在，为未来深入学习其他相关知识打下基础。同时，本书是一本“实战性”很强的书籍，大部分章节以一个实,,¥34.50
 从零开始大模型开发与微调：基于PyTorch与ChatGLM 详解大模型基本理论、算法、程序实现与应用实战，揭示大模型开发与微调技术。大模型开发，大模型微调，深度学习入门，PyTorch，ChatGLM，,,¥66.70
 Python量化交易实战——使用vn.py构建交易系统 量化交易的入门书籍，抛开书本上枯燥繁杂的知识，用动手实践的方式带你实现属于自己的交易系统！,,¥59.20
